Item,Part Changed,Options,Part1,Part2
29df Bed,The Frame,Black and Red,4,0
,The Bedding,Red,0,1
,,Clothes,0,8
29e0 Bureau,The Furniture Color,Black and red,4,0
29e1 Wardrobe,The Furniture Color,Black and red,4,0
29e2 Bench,The Furniture Color,Black and red,4,0
29e3 Chair,The Frame,Black and red,4,0
,The Fabric,Red,0,1
,,Clothes,0,8
29e4  Table,The Furniture Color,Black and red,4,0
29e5 End Table,The Furniture Color,Black and red,4,0
29e6 Lamp,The Furniture Color,Black and red,4,0
29e7 Screen,The Furniture Color,Black and red,4,0
29e8 Chest,The Furniture Color,Black and red,4,0
29e9 Wall Shelf,The Furniture Color,Black and red,4,0
29ea Bed,The Frame,Beige,4,0
,,White,8,0
,The Bedding,Red,0,1
,,Green,0,2
,,Black,0,3
,,Clothes,0,8
29eb  Dresser,The Wood Color,Beige,4,0
,,White,8,0
29ec Wardrobe,The Wood Color,Beige,4,0
,,White,8,0
29ed Couch,The Wood Color,Beige,4,0
,,White,8,0
29ee Armchair,The Wood Color,Beige,4,0
,,White,8,0
29ef Chair,The Wood Color,Beige,4,0
,,White,8,0
29f0 Table,The Wood Color,Beige,4,0
,,White,8,0
29f1 Tea Table,The Wood Color,Beige,4,0
,,White,8,0
,The Cloth,Red,0,1
,,Green,0,2
,,Black,0,3
,,Clothes,0,8
29f2 Bookcase,The Wood Color,Beige,4,0
,,White,8,0
29f3 Hutch,The Wood Color,Beige,4,0
,,White,8,0
29f4 Wall Rack,The Wood Color,Beige,4,0
,,White,8,0
29f5  Bed,The Frame,Violet brown,4,0
,,Chocolate,8,0
,The Bedding,Light Beige,0,1
,,Dark beige,0,2
,,Clothes,0,8
29f6  Vanity,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29f7  Wardrobe,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29f8  Chair,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29f9  Sofa,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29fa  Table,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
,The Cloth,Violet,0,1
,,Yellow,0,2
,,Clothes,0,8
29fb  Bookcase,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29fc  Buffet,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
,The Cloth,Violet,0,1
,,Yellow,0,2
,,Clothes,0,8
29fd  Desk,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29fe  Clock,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
29ff  Wall Shelf,The Wood Color,Violet brown,4,0
,,Chocolate,8,0
2a00  Bed,The Frame,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a01  Dresser,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a02  Armoire,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a03  Chair,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a04  Sofa,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a05  Table,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
,The Tablecloth,Royal Blue,0,1
,,Royal pink,0,2
,,Royal red,0,3
